learner_key,first_name,last_name,program_key,start_term_key,campus,enrollment_intensity,learner_status,is_veteran
10048,Kenji,Ferrara,5,7,Ogden,Part-Time,Active,No
10049,Luis,Rossi,5,4,Salt Lake City,Part-Time,Active,No
10050,Sofia,Anderson,5,4,Ogden,Part-Time,Active,No
10051,Avery,Gonzalez,5,4,Ogden,Part-Time,Active,No
10052,Jennifer,Gonzalez,6,5,St. George,Part-Time,Active,No
10053,Rowan,Johnson,1,5,Salt Lake City,Part-Time,Active,No
10054,Jennifer,Brown,5,7,Online,Full-Time,Graduated,No
10055,Luis,Patel,4,1,Provo,Part-Time,Active,No
10056,Diego,Choi,6,6,Salt Lake City,Part-Time,Graduated,No
10057,Sage,Patel,3,6,Provo,Full-Time,Active,No
10058,Sage,Gonzalez,6,3,St. George,Full-Time,Graduated,No
10059,Patricia,Silva,1,6,Provo,Part-Time,Active,No
10060,Sage,Nguyen,6,3,St. George,Part-Time,Graduated,Yes
10061,Casey,Smith,3,4,Salt Lake City,Full-Time,Graduated,No
10062,Yuki,Okafor,3,2,St. George,Full-Time,Active,No
10063,Aisha,Rossi,2,7,Salt Lake City,Full-Time,Active,No
10064,David,Davis,1,9,Salt Lake City,Part-Time,Active,No
10065,William,Hernandez,2,9,Online,Part-Time,Leave of Absence,No
10066,Michael,Anderson,2,3,Ogden,Full-Time,Graduated,No
10067,Quinn,Rodriguez,1,9,Online,Full-Time,Active,No
10068,David,Williams,1,6,Provo,Full-Time,Active,No
10069,Robert,Hernandez,3,4,St. George,Part-Time,Active,No
10070,Fatima,Kim,1,7,Salt Lake City,Part-Time,Active,No
10071,Omar,Diallo,6,5,Online,Full-Time,Graduated,No
10072,Maria,Silva,1,8,Online,Full-Time,Active,No
10073,Linda,Kim,5,9,St. George,Full-Time,Active,No
10074,Rowan,Gonzalez,1,8,Ogden,Full-Time,Active,No
10075,Nadia,Wilson,1,7,Ogden,Full-Time,Active,No
10076,James,Davis,4,1,Salt Lake City,Full-Time,Leave of Absence,No
10077,William,Jones,6,4,Provo,Full-Time,Withdrawn,No
10078,Rowan,Haddad,1,4,Ogden,Full-Time,Active,No
10079,Riley,Martinez,6,2,Salt Lake City,Full-Time,Graduated,No
10080,Priya,Miller,3,7,Salt Lake City,Full-Time,Active,No
10081,Elizabeth,Ivanov,5,2,Salt Lake City,Part-Time,Graduated,No
10082,Maria,Smith,3,2,Online,Part-Time,Active,No
10083,Robert,Garcia,3,8,St. George,Part-Time,Graduated,No
10084,Nadia,Novak,5,8,St. George,Part-Time,Active,No
10085,Patricia,Davis,1,2,Online,Part-Time,Active,No
10086,Avery,Lopez,2,6,Ogden,Part-Time,Active,No
10087,Jennifer,Miller,3,5,Salt Lake City,Full-Time,Graduated,No
10088,Aisha,Rossi,2,4,Online,Part-Time,Graduated,No
10089,Quinn,Martinez,1,4,St. George,Part-Time,Active,No
10090,David,Hernandez,2,7,Ogden,Part-Time,Leave of Absence,No
10091,Maria,Brown,1,2,St. George,Full-Time,Graduated,No
10092,Fatima,Nguyen,4,5,St. George,Part-Time,Graduated,No
10093,Riley,Martinez,5,5,Salt Lake City,Full-Time,Active,No
10094,Casey,Okafor,6,9,Online,Full-Time,Active,No
10095,Maria,Garcia,3,8,Salt Lake City,Part-Time,Active,No
10096,Taylor,Kim,2,2,Salt Lake City,Full-Time,Active,No
10097,Quinn,Brown,3,5,St. George,Part-Time,Active,No
10098,Linda,Anderson,5,4,Online,Part-Time,Graduated,No
10099,Jordan,Chen,6,5,Salt Lake City,Full-Time,Graduated,No
10100,Riley,Patel,1,2,Salt Lake City,Full-Time,Active,No
10101,Quinn,Martinez,3,8,Ogden,Part-Time,Active,Yes
10102,David,Davis,5,4,Provo,Part-Time,Active,No
10103,William,Novak,1,3,St. George,Part-Time,Graduated,No
10104,Rowan,Nguyen,2,5,St. George,Part-Time,Graduated,No
10105,William,Rodriguez,3,7,Salt Lake City,Full-Time,Graduated,No
10106,Diego,Berg,3,1,Ogden,Full-Time,Leave of Absence,No
10107,Sofia,Rodriguez,1,9,Provo,Part-Time,Graduated,No
10108,Robert,Hernandez,2,2,Ogden,Full-Time,Active,No
10109,Linda,Berg,1,8,St. George,Full-Time,Active,No
10110,Fatima,Gonzalez,1,6,St. George,Full-Time,Active,No
10111,Jennifer,Lopez,2,7,St. George,Part-Time,Active,No
10112,Casey,Ferrara,4,4,Ogden,Part-Time,Active,No
10113,William,Ivanov,2,1,Provo,Full-Time,Leave of Absence,No
10114,Nadia,Ferrara,1,7,Salt Lake City,Part-Time,Active,No
10115,Priya,Martinez,3,3,St. George,Part-Time,Active,No
10116,David,Jones,2,8,Online,Full-Time,Active,No
10117,Rowan,Haddad,2,3,Online,Part-Time,Withdrawn,No
10118,Sage,Berg,2,1,St. George,Part-Time,Active,No
10119,David,Haddad,2,8,St. George,Part-Time,Active,No
10120,Quinn,Kim,1,4,Online,Full-Time,Leave of Absence,No
10121,Priya,Ferrara,2,6,Online,Part-Time,Graduated,No
10122,Jordan,Jones,5,3,St. George,Part-Time,Active,No
10123,Sofia,Anderson,5,8,Salt Lake City,Full-Time,Active,No
10124,Luis,Rodriguez,3,3,Ogden,Part-Time,Active,No
10125,Maria,Okafor,5,9,Online,Full-Time,Active,No
10126,Kenji,Williams,1,5,Online,Full-Time,Leave of Absence,No
10127,Priya,Martinez,4,2,Salt Lake City,Full-Time,Active,No
10128,Casey,Davis,1,6,St. George,Part-Time,Active,No
10129,William,Choi,5,3,Online,Full-Time,Active,No
10130,Rowan,Anderson,3,4,Ogden,Full-Time,Active,No
10131,Riley,Williams,2,5,Online,Part-Time,Graduated,No
10132,Patricia,Choi,1,7,Ogden,Full-Time,Graduated,No
10133,Elizabeth,Lopez,5,2,St. George,Part-Time,Active,No
10134,Elizabeth,Choi,1,7,Salt Lake City,Part-Time,Active,No
10135,James,Davis,5,4,Provo,Part-Time,Graduated,No
10136,Yuki,Okafor,4,3,Salt Lake City,Part-Time,Graduated,No
10137,Taylor,Ferrara,1,6,Ogden,Part-Time,Graduated,No
10138,Yuki,Lopez,1,3,St. George,Part-Time,Graduated,No
10139,Sage,Novak,1,8,Ogden,Full-Time,Leave of Absence,No
10140,Kenji,Silva,1,4,Online,Part-Time,Withdrawn,No
10141,James,Silva,1,9,Ogden,Part-Time,Active,No
10142,Michael,Smith,6,2,St. George,Part-Time,Graduated,No
10143,Patricia,Ferrara,1,2,Ogden,Part-Time,Graduated,Yes
10144,Morgan,Brown,6,5,Provo,Full-Time,Leave of Absence,No
10145,Kenji,Novak,2,9,Provo,Part-Time,Active,No
10146,Rowan,Johnson,5,7,Ogden,Full-Time,Withdrawn,No
10147,Diego,Lopez,6,6,St. George,Part-Time,Active,No
10148,Nadia,Anderson,1,2,Salt Lake City,Full-Time,Withdrawn,No
10149,Maria,Davis,3,1,Provo,Full-Time,Active,Yes
10150,Casey,Ivanov,3,4,St. George,Full-Time,Active,No
10151,Luis,Garcia,6,3,Salt Lake City,Full-Time,Active,No
10152,Alex,Garcia,2,4,Ogden,Full-Time,Graduated,No
10153,Michael,Anderson,2,2,Ogden,Full-Time,Graduated,No
10154,Sofia,Choi,1,1,St. George,Part-Time,Graduated,No
10155,Omar,Gonzalez,6,1,Online,Full-Time,Leave of Absence,No
10156,Maria,Chen,5,2,Provo,Full-Time,Withdrawn,No
10157,Linda,Chen,3,9,St. George,Part-Time,Graduated,No
10158,Morgan,Choi,3,2,St. George,Full-Time,Graduated,No
10159,Patricia,Gonzalez,5,7,Online,Full-Time,Active,No
10160,Casey,Silva,1,5,Online,Full-Time,Active,Yes
10161,James,Ivanov,1,2,Provo,Full-Time,Graduated,No
10162,Robert,Lopez,3,6,Online,Full-Time,Graduated,No
10163,Jennifer,Miller,3,6,Provo,Part-Time,Active,No
10164,Fatima,Rodriguez,1,9,St. George,Full-Time,Active,No
10165,Sofia,Silva,5,9,Ogden,Full-Time,Active,No
10166,James,Smith,4,5,Provo,Full-Time,Withdrawn,No
10167,Alex,Williams,2,3,St. George,Full-Time,Graduated,No
10168,Kenji,Hernandez,2,3,St. George,Full-Time,Active,No
10169,Rowan,Anderson,1,1,Online,Part-Time,Graduated,No
10170,Morgan,Lopez,2,4,Online,Full-Time,Graduated,No
10171,Sage,Johnson,3,8,Provo,Part-Time,Active,No
10172,Avery,Haddad,1,4,Provo,Part-Time,Active,No
10173,Riley,Jones,1,8,Online,Full-Time,Graduated,No
10174,Omar,Novak,5,6,Salt Lake City,Part-Time,Active,Yes
10175,Priya,Okafor,5,7,Online,Part-Time,Graduated,Yes
10176,William,Anderson,6,3,Ogden,Full-Time,Graduated,No
10177,Jennifer,Williams,1,7,Online,Part-Time,Graduated,No
10178,Aisha,Brown,1,3,St. George,Full-Time,Active,No
10179,Casey,Rodriguez,1,3,Provo,Full-Time,Active,No
10180,Fatima,Okafor,4,2,Online,Part-Time,Active,No
10181,Yuki,Kim,4,8,St. George,Part-Time,Graduated,No
10182,Michael,Anderson,3,3,Ogden,Part-Time,Active,No
10183,Patricia,Johnson,2,2,Salt Lake City,Part-Time,Active,No
10184,Jennifer,Gonzalez,1,2,Online,Full-Time,Graduated,No
10185,Michael,Nguyen,5,4,Provo,Full-Time,Active,No
10186,Taylor,Nguyen,5,6,Provo,Full-Time,Leave of Absence,No
10187,William,Garcia,2,8,Ogden,Part-Time,Active,No
10188,Jordan,Ivanov,2,6,Ogden,Full-Time,Graduated,No
10189,Kenji,Choi,3,7,St. George,Full-Time,Active,No
10190,Sage,Okafor,3,3,Online,Full-Time,Withdrawn,No
10191,Aisha,Ivanov,6,5,Ogden,Full-Time,Graduated,No
10192,Diego,Wilson,5,9,St. George,Part-Time,Active,No
10193,Fatima,Thomas,1,4,Provo,Full-Time,Active,No
10194,Morgan,Nguyen,1,5,St. George,Full-Time,Withdrawn,No
10195,Casey,Garcia,5,3,Provo,Full-Time,Graduated,No
10196,Quinn,Anderson,1,6,St. George,Part-Time,Graduated,No
10197,Sage,Ivanov,5,4,Online,Full-Time,Active,No
10198,Sage,Haddad,6,8,Online,Part-Time,Active,No
10199,Jordan,Okafor,5,3,Online,Part-Time,Withdrawn,No
10200,Sage,Williams,1,9,Provo,Part-Time,Withdrawn,No
10201,Sofia,Davis,2,7,Online,Part-Time,Active,No
10202,Quinn,Gonzalez,2,7,Salt Lake City,Part-Time,Active,No
10203,Aisha,Hernandez,1,2,Provo,Full-Time,Withdrawn,No
10204,Michael,Anderson,3,3,St. George,Full-Time,Graduated,No
10205,David,Novak,1,4,St. George,Part-Time,Withdrawn,No
10206,Robert,Okafor,1,2,St. George,Part-Time,Active,No
10207,Elizabeth,Davis,3,1,Provo,Part-Time,Graduated,No
10208,Riley,Silva,3,4,Salt Lake City,Part-Time,Graduated,Yes
10209,Linda,Lopez,2,8,Ogden,Full-Time,Active,No
10210,Aisha,Brown,1,4,St. George,Part-Time,Graduated,No
10211,Riley,Berg,2,6,Online,Part-Time,Graduated,No
10212,Patricia,Johnson,5,2,Ogden,Full-Time,Graduated,Yes
10213,Jennifer,Gonzalez,5,6,St. George,Part-Time,Withdrawn,No
10214,Omar,Haddad,4,4,Salt Lake City,Part-Time,Active,No
10215,Kenji,Anderson,5,7,Online,Part-Time,Withdrawn,No
10216,Luis,Nguyen,2,8,Ogden,Full-Time,Active,No
10217,Maria,Brown,1,3,Salt Lake City,Part-Time,Active,No
10218,Patricia,Lopez,1,7,Online,Full-Time,Active,No
10219,Luis,Johnson,5,7,Salt Lake City,Part-Time,Active,No
10220,Casey,Choi,5,3,St. George,Part-Time,Withdrawn,Yes
10221,Elizabeth,Johnson,1,6,St. George,Full-Time,Active,No
10222,Taylor,Kim,6,6,Provo,Part-Time,Active,No
10223,Alex,Novak,3,4,Provo,Part-Time,Leave of Absence,No
10224,Rowan,Rossi,5,2,Online,Full-Time,Active,No
10225,Casey,Choi,1,8,Salt Lake City,Part-Time,Active,No
10226,Omar,Hernandez,4,2,Ogden,Full-Time,Graduated,No
10227,Priya,Rossi,1,5,Provo,Part-Time,Withdrawn,No
10228,Quinn,Ivanov,1,4,Online,Full-Time,Graduated,No
10229,David,Jones,3,8,St. George,Full-Time,Graduated,No
10230,Fatima,Wilson,6,8,St. George,Full-Time,Active,No
10231,Diego,Nguyen,1,2,Ogden,Full-Time,Active,No
10232,Casey,Wilson,5,3,St. George,Full-Time,Graduated,No
10233,Maria,Ferrara,2,5,Provo,Part-Time,Active,No
10234,Rowan,Miller,2,5,St. George,Part-Time,Withdrawn,No
10235,Aisha,Garcia,1,9,St. George,Full-Time,Active,No
10236,Elizabeth,Johnson,3,6,Salt Lake City,Full-Time,Withdrawn,No
10237,Alex,Thomas,3,7,St. George,Part-Time,Graduated,No
10238,Diego,Gonzalez,1,4,Ogden,Part-Time,Graduated,Yes
10239,Avery,Hernandez,1,7,St. George,Full-Time,Active,No
10240,Casey,Haddad,4,6,Ogden,Full-Time,Leave of Absence,No
10241,Casey,Brown,2,5,Salt Lake City,Part-Time,Active,No
10242,Omar,Diallo,5,7,Provo,Part-Time,Active,No
10243,Michael,Nguyen,4,4,Online,Part-Time,Graduated,No
10244,Jennifer,Anderson,2,2,Provo,Full-Time,Withdrawn,No
10245,Yuki,Berg,1,5,Online,Part-Time,Active,No
10246,Rowan,Novak,5,7,Ogden,Part-Time,Active,No
10247,David,Martinez,2,9,Salt Lake City,Part-Time,Active,No
10248,William,Silva,4,5,St. George,Full-Time,Graduated,No
10249,Maria,Patel,1,6,Ogden,Full-Time,Graduated,No
10250,Jordan,Jones,2,9,Ogden,Part-Time,Active,No
10251,Sofia,Chen,1,9,Ogden,Full-Time,Active,No
10252,Jennifer,Berg,3,5,St. George,Part-Time,Graduated,No
10253,Diego,Brown,1,1,Online,Part-Time,Active,No
10254,Rowan,Okafor,4,1,St. George,Full-Time,Graduated,No
10255,Kenji,Chen,3,3,Online,Full-Time,Active,No
10256,Patricia,Hernandez,1,2,Online,Full-Time,Active,No
10257,Sofia,Thomas,1,9,Salt Lake City,Full-Time,Graduated,No
10258,Maria,Garcia,3,8,Online,Part-Time,Active,No
10259,Avery,Davis,3,5,Ogden,Part-Time,Graduated,No
10260,Priya,Miller,6,5,Online,Part-Time,Graduated,No
10261,Elizabeth,Silva,3,5,St. George,Part-Time,Active,No
10262,Luis,Jones,2,6,Ogden,Full-Time,Withdrawn,No
10263,Aisha,Rodriguez,4,6,Online,Full-Time,Withdrawn,No
10264,Casey,Brown,2,9,St. George,Full-Time,Graduated,No
10265,Quinn,Johnson,3,9,Salt Lake City,Part-Time,Active,No
10266,David,Ferrara,2,3,Provo,Part-Time,Active,No
10267,Avery,Haddad,5,8,Ogden,Part-Time,Active,No
10268,Quinn,Patel,1,2,Salt Lake City,Full-Time,Graduated,No
10269,Linda,Ivanov,5,1,Online,Full-Time,Leave of Absence,No
10270,Alex,Martinez,6,5,St. George,Full-Time,Withdrawn,No
10271,David,Nguyen,1,8,Online,Full-Time,Leave of Absence,No
10272,Maria,Garcia,2,4,Online,Part-Time,Graduated,No
10273,Elizabeth,Silva,1,6,Provo,Full-Time,Graduated,No
10274,Jennifer,Hernandez,3,7,Salt Lake City,Part-Time,Graduated,No
10275,Sofia,Davis,1,3,Salt Lake City,Part-Time,Active,No
10276,Sage,Kim,2,5,St. George,Full-Time,Withdrawn,No
10277,Morgan,Anderson,2,4,Ogden,Full-Time,Active,No
10278,Aisha,Ferrara,2,5,Ogden,Part-Time,Graduated,No
10279,Patricia,Novak,1,3,St. George,Part-Time,Active,No
10280,Luis,Silva,2,8,Provo,Full-Time,Graduated,No
10281,Jennifer,Rossi,3,2,Ogden,Full-Time,Active,No
10282,Avery,Kim,1,9,St. George,Full-Time,Withdrawn,No
10283,Avery,Rossi,5,8,St. George,Part-Time,Active,No
10284,Robert,Anderson,5,8,St. George,Full-Time,Active,No
10285,Linda,Rodriguez,3,5,Salt Lake City,Full-Time,Graduated,No
10286,David,Johnson,1,6,Salt Lake City,Part-Time,Graduated,No
10287,Kenji,Okafor,1,3,Online,Part-Time,Graduated,No
10288,Diego,Silva,2,7,St. George,Full-Time,Active,No
10289,Linda,Nguyen,1,3,Provo,Full-Time,Leave of Absence,No
10290,Kenji,Patel,4,5,Online,Part-Time,Active,No
10291,Avery,Ferrara,1,6,Salt Lake City,Full-Time,Active,No
10292,Taylor,Brown,2,1,St. George,Full-Time,Active,No
10293,Jordan,Gonzalez,3,1,Online,Full-Time,Active,No
10294,Sage,Davis,4,1,St. George,Part-Time,Active,No
10295,Yuki,Jones,4,6,St. George,Full-Time,Active,No
10296,Yuki,Novak,1,9,Provo,Part-Time,Withdrawn,No
10297,Diego,Gonzalez,1,6,St. George,Part-Time,Withdrawn,No
10298,Fatima,Patel,2,5,Online,Full-Time,Active,No
10299,Sofia,Johnson,1,3,St. George,Part-Time,Graduated,No
10300,Rowan,Miller,3,3,Ogden,Full-Time,Active,No
10301,Nadia,Miller,5,2,Salt Lake City,Part-Time,Active,No
10302,Avery,Ivanov,3,1,St. George,Full-Time,Withdrawn,No
10303,Sofia,Smith,5,6,Provo,Full-Time,Active,No
10304,Priya,Chen,1,8,Provo,Part-Time,Withdrawn,No
10305,David,Okafor,3,5,Ogden,Part-Time,Active,No
10306,Luis,Novak,2,8,Online,Part-Time,Active,No
10307,Omar,Davis,2,7,Provo,Full-Time,Active,No
10308,Avery,Hernandez,6,7,Provo,Part-Time,Active,No
10309,Diego,Hernandez,1,9,Ogden,Part-Time,Graduated,No
10310,Kenji,Ivanov,3,8,Ogden,Full-Time,Active,No
10311,David,Okafor,2,3,Salt Lake City,Full-Time,Withdrawn,No
10312,Robert,Jones,1,1,Provo,Full-Time,Graduated,No
10313,Jordan,Chen,1,9,St. George,Part-Time,Active,No
10314,Alex,Smith,1,9,St. George,Part-Time,Graduated,No
10315,Diego,Wilson,1,9,Provo,Full-Time,Graduated,No
10316,Jennifer,Rodriguez,2,4,Ogden,Part-Time,Active,No
10317,Quinn,Rossi,1,7,Provo,Part-Time,Active,No
10318,Linda,Gonzalez,5,1,St. George,Part-Time,Active,Yes
10319,Robert,Okafor,4,2,Ogden,Full-Time,Active,No
10320,Omar,Rossi,5,4,St. George,Part-Time,Active,No
10321,Elizabeth,Silva,5,5,Salt Lake City,Full-Time,Withdrawn,No
10322,Fatima,Berg,1,4,Online,Full-Time,Graduated,No
10323,David,Hernandez,3,7,Online,Full-Time,Graduated,No
10324,James,Johnson,3,2,Salt Lake City,Part-Time,Active,No
10325,Maria,Smith,1,7,Ogden,Part-Time,Leave of Absence,No
10326,Diego,Kim,2,7,Online,Full-Time,Active,No
10327,Taylor,Rodriguez,1,4,Provo,Part-Time,Graduated,No
10328,Morgan,Williams,3,7,Salt Lake City,Part-Time,Active,No
10329,Riley,Wilson,4,2,Online,Part-Time,Active,Yes
10330,Luis,Hernandez,2,2,Online,Full-Time,Graduated,No
10331,David,Diallo,2,2,Provo,Full-Time,Graduated,No
10332,Michael,Jones,1,5,Salt Lake City,Full-Time,Active,No
10333,James,Rodriguez,2,8,Provo,Part-Time,Graduated,No
10334,Alex,Gonzalez,1,2,Ogden,Part-Time,Active,No
10335,Nadia,Choi,1,6,St. George,Full-Time,Active,No
10336,Riley,Gonzalez,3,4,Ogden,Part-Time,Active,No
10337,Rowan,Berg,3,4,Online,Part-Time,Active,Yes
10338,Fatima,Patel,3,9,Salt Lake City,Part-Time,Active,No
10339,Taylor,Berg,1,5,Online,Part-Time,Withdrawn,No
10340,Priya,Wilson,1,5,Online,Full-Time,Graduated,No
10341,Sofia,Ferrara,3,7,Online,Full-Time,Active,No
10342,Sofia,Williams,2,9,Salt Lake City,Full-Time,Graduated,No
10343,Aisha,Silva,2,1,Online,Part-Time,Graduated,No
10344,Quinn,Nguyen,2,1,St. George,Full-Time,Active,No
10345,Alex,Thomas,2,9,Salt Lake City,Part-Time,Active,No
10346,Kenji,Jones,6,2,Ogden,Part-Time,Withdrawn,No
10347,Michael,Brown,5,9,Online,Part-Time,Active,No
10348,Maria,Okafor,1,2,Salt Lake City,Full-Time,Active,No
10349,Riley,Hernandez,4,9,St. George,Part-Time,Active,No
10350,Riley,Okafor,1,7,Online,Part-Time,Graduated,Yes
10351,Priya,Miller,2,7,Provo,Part-Time,Active,No
10352,Luis,Choi,5,2,St. George,Full-Time,Graduated,No
10353,Omar,Thomas,1,2,St. George,Part-Time,Active,No
10354,Omar,Anderson,3,2,St. George,Full-Time,Active,No
10355,Elizabeth,Williams,4,5,Provo,Part-Time,Withdrawn,No
10356,Jennifer,Gonzalez,1,6,Online,Full-Time,Graduated,No
10357,Priya,Ferrara,2,8,Provo,Full-Time,Graduated,No
10358,William,Johnson,1,6,Ogden,Full-Time,Withdrawn,No
10359,Jennifer,Okafor,1,7,Online,Part-Time,Leave of Absence,No
10360,Taylor,Kim,2,8,Salt Lake City,Full-Time,Active,No
10361,Fatima,Anderson,1,9,St. George,Part-Time,Active,No
10362,David,Berg,1,2,Ogden,Full-Time,Active,No
10363,Morgan,Novak,2,4,Provo,Part-Time,Leave of Absence,No
10364,Nadia,Williams,1,5,Online,Full-Time,Active,No
10365,William,Okafor,1,6,Online,Full-Time,Withdrawn,No
10366,Elizabeth,Lopez,5,4,St. George,Part-Time,Graduated,No
10367,Rowan,Choi,1,5,St. George,Full-Time,Active,No
10368,Rowan,Choi,4,7,Provo,Full-Time,Withdrawn,No
10369,Diego,Gonzalez,4,4,Online,Full-Time,Graduated,No
10370,Taylor,Okafor,1,7,Salt Lake City,Part-Time,Active,No
10371,Michael,Hernandez,1,6,St. George,Full-Time,Active,No
10372,Patricia,Okafor,5,2,Ogden,Full-Time,Graduated,No
10373,Michael,Rodriguez,2,7,Ogden,Part-Time,Graduated,No
10374,Yuki,Silva,3,8,Salt Lake City,Full-Time,Graduated,No
10375,Alex,Wilson,1,3,Provo,Full-Time,Active,No
10376,James,Rodriguez,1,5,Salt Lake City,Part-Time,Active,No
10377,Sage,Novak,3,1,Provo,Part-Time,Active,No
10378,Taylor,Jones,4,1,St. George,Full-Time,Active,No
10379,Nadia,Brown,2,1,Online,Full-Time,Graduated,No
10380,Morgan,Brown,1,2,Ogden,Part-Time,Graduated,No
10381,Diego,Jones,1,3,Salt Lake City,Full-Time,Graduated,No
10382,Aisha,Novak,1,6,Provo,Part-Time,Graduated,No
10383,Morgan,Jones,2,4,Salt Lake City,Part-Time,Active,No
10384,Aisha,Williams,2,3,Provo,Part-Time,Active,No
10385,William,Nguyen,3,5,Provo,Part-Time,Active,No
10386,Morgan,Davis,1,4,Online,Full-Time,Active,No
10387,Casey,Gonzalez,6,6,St. George,Part-Time,Withdrawn,No
10388,Fatima,Williams,3,8,Salt Lake City,Full-Time,Withdrawn,Yes
10389,Linda,Nguyen,1,1,Ogden,Part-Time,Withdrawn,No
10390,Casey,Rodriguez,2,9,Salt Lake City,Part-Time,Active,Yes
10391,Linda,Kim,6,3,Salt Lake City,Part-Time,Active,No
10392,Taylor,Ferrara,4,4,Online,Full-Time,Active,No
10393,Diego,Novak,3,5,Provo,Full-Time,Graduated,Yes
10394,James,Nguyen,4,3,St. George,Part-Time,Active,No
10395,Morgan,Haddad,1,5,Salt Lake City,Part-Time,Graduated,No
10396,Elizabeth,Okafor,1,2,Salt Lake City,Part-Time,Active,No
10397,Riley,Lopez,2,8,Provo,Part-Time,Withdrawn,No
10398,Jennifer,Smith,5,2,Salt Lake City,Full-Time,Active,No
10399,Riley,Ferrara,2,7,Salt Lake City,Part-Time,Withdrawn,No
10400,Taylor,Kim,1,6,Ogden,Full-Time,Active,No
10401,Jennifer,Johnson,5,3,Online,Full-Time,Active,No
10402,David,Anderson,5,5,Salt Lake City,Part-Time,Active,No
10403,Quinn,Anderson,3,5,Ogden,Part-Time,Graduated,No
10404,Quinn,Jones,4,9,Salt Lake City,Part-Time,Graduated,No
10405,Alex,Haddad,3,1,Online,Part-Time,Withdrawn,Yes
10406,Casey,Rossi,2,1,Ogden,Full-Time,Leave of Absence,Yes
10407,Yuki,Lopez,5,9,Online,Full-Time,Active,No
10408,Elizabeth,Johnson,2,7,Online,Full-Time,Active,No
10409,Linda,Rossi,1,6,Ogden,Part-Time,Withdrawn,No
10410,Fatima,Kim,1,4,Salt Lake City,Full-Time,Active,No
10411,James,Haddad,2,7,Provo,Part-Time,Active,No
10412,Luis,Silva,1,2,Ogden,Full-Time,Active,No
10413,Quinn,Lopez,5,3,Online,Full-Time,Active,No
10414,Linda,Choi,1,3,Online,Full-Time,Active,Yes
10415,Jordan,Berg,5,3,Provo,Full-Time,Active,No
